Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.14.0,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,STOP ON MEM FULL,,,,,,,,,,,,
Current Interval,24:00:00,,,,,,,,,,,,,
Start Time,6/8/2017,0:34:52,,,,,,,,,,,,
Current Time,3/13/2019,15:40:02,Logger Time,3/13/2019,15:11:45,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,644,USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,2A,FFFFFFFF,10633410,,,WD 42,PO 0,EXT 2,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
6/8/2017 0:34,1,3.71,-0.002098,0,,,,-0.002098,0,9.8,0,0,0,0
6/9/2017 0:34,2,3.51,0.005535,0,,,,0.005535,0,20.9,0,0,0,0
6/10/2017 0:34,3,3.51,-0.308802,0,,,,-0.308802,0,23.3,0,0,0,0
6/11/2017 0:34,4,3.46,-0.308847,0,,,,-0.308847,0,18.4,0,0,0,0
6/12/2017 0:34,5,3.46,-0.308033,0,,,,-0.308033,0,19.1,0,0,0,0
6/13/2017 0:34,6,3.46,-0.308853,0,,,,-0.308853,0,17.6,0,0,0,0
6/14/2017 0:34,7,3.41,-0.308857,0,,,,-0.308857,0,17.4,0,0,0,0
6/15/2017 0:34,8,3.41,-0.308884,0,,,,-0.308884,0,14.4,0,0,0,0
6/16/2017 0:34,9,3.41,-0.096756,0,,,,-0.096756,0,15,0,0,0,0
6/17/2017 0:34,10,3.36,-0.094913,0,,,,-0.094913,0,12,0,0,0,0
6/18/2017 0:34,11,3.36,-0.094429,0,,,,-0.094429,0,11.4,0,0,0,0
6/19/2017 0:34,12,3.41,-0.095766,0,,,,-0.095766,0,13.1,0,0,0,0
6/20/2017 0:34,13,3.41,-0.093596,0,,,,-0.093596,0,15.1,0,0,0,0
6/21/2017 0:34,14,3.41,-0.093616,0,,,,-0.093616,0,16,0,0,0,0
6/22/2017 0:34,15,3.36,-0.09318,0,,,,-0.09318,0,13,0,0,0,0
6/23/2017 0:34,16,3.36,-0.099644,0,,,,-0.099644,0,13.4,0,0,0,0
6/24/2017 0:34,17,3.41,-0.098921,0,,,,-0.098921,0,13.8,0,0,0,0
6/25/2017 0:34,18,3.41,-0.098848,0,,,,-0.098848,0,14.6,0,0,0,0
6/26/2017 0:34,19,3.41,-0.096039,0,,,,-0.096039,0,14.5,0,0,0,0
6/27/2017 0:34,20,3.41,-0.095957,0,,,,-0.095957,0,14.9,0,0,0,0
6/28/2017 0:34,21,3.36,-0.090384,0,,,,-0.090384,0,14.8,0,0,0,0
6/29/2017 0:34,22,3.41,-0.093702,0,,,,-0.093702,0,15.3,0,0,0,0
6/30/2017 0:34,23,3.41,-0.094391,0,,,,-0.094391,0,15.8,0,0,0,0
7/1/2017 0:34,24,3.36,-0.094128,0,,,,-0.094128,0,16,0,0,0,0
7/2/2017 0:34,25,3.36,-0.094086,0,,,,-0.094086,0,15.2,0,0,0,0
7/3/2017 0:34,26,3.36,-0.092705,0,,,,-0.092705,0,15.8,0,0,0,0
7/4/2017 0:34,27,3.36,-0.092869,0,,,,-0.092869,0,16.3,0,0,0,0
7/5/2017 0:34,28,3.36,-0.09226,0,,,,-0.09226,0,15.7,0,0,0,0
7/6/2017 0:34,29,3.41,-0.089922,0,,,,-0.089922,0,17.6,0,0,0,0
7/7/2017 0:34,30,3.41,-0.065044,0,,,,-0.065044,0,21.1,0,0,0,0
7/8/2017 0:34,31,3.41,0.036003,0,,,,0.036003,0,24.8,0,0,0,0
7/9/2017 0:34,32,3.41,-0.173353,0,,,,-0.173353,0,24.4,0,0,0,0
7/10/2017 0:34,33,3.36,-0.013514,0,,,,-0.013514,0,21.4,0,0,0,0
7/11/2017 0:34,34,3.36,-0.011234,0,,,,-0.011234,0,19.8,0,0,0,0
7/12/2017 0:34,35,3.36,-0.011261,0,,,,-0.011261,0,18.8,0,0,0,0
7/13/2017 0:34,36,3.36,-0.011246,0,,,,-0.011246,0,19.3,0,0,0,0
7/14/2017 0:34,37,3.36,-0.012104,0,,,,-0.012104,0,17.9,0,0,0,0
7/15/2017 0:34,38,3.36,-0.012045,0,,,,-0.012045,0,18.1,0,0,0,0
7/16/2017 0:34,39,3.36,-0.01214,0,,,,-0.01214,0,18.1,0,0,0,0
7/17/2017 0:34,40,3.36,-0.012264,0,,,,-0.012264,0,17.5,0,0,0,0
7/18/2017 0:34,41,3.41,-0.012547,0,,,,-0.012547,0,14.3,0,0,0,0
7/19/2017 0:34,42,3.41,-0.012693,0,,,,-0.012693,0,15.2,0,0,0,0
7/20/2017 0:34,43,3.41,-0.012428,0,,,,-0.012428,0,15.7,0,0,0,0
7/21/2017 0:34,44,3.41,-0.015278,0,,,,-0.015278,0,16.6,0,0,0,0
7/22/2017 0:34,45,3.41,-0.015209,0,,,,-0.015209,0,16.2,0,0,0,0
7/23/2017 0:34,46,3.41,-0.015152,0,,,,-0.015152,0,17.1,0,0,0,0
7/24/2017 0:34,47,3.41,-0.010458,0,,,,-0.010458,0,15.7,0,0,0,0
7/25/2017 0:34,48,3.41,-0.008657,0,,,,-0.008657,0,17.3,0,0,0,0
7/26/2017 0:34,49,3.36,-0.005665,0,,,,-0.005665,0,17.7,0,0,0,0
7/27/2017 0:34,50,3.36,-0.005568,0,,,,-0.005568,0,17.7,0,0,0,0
7/28/2017 0:34,51,3.36,-0.005558,0,,,,-0.005558,0,17.4,0,0,0,0
7/29/2017 0:34,52,3.36,-0.005268,0,,,,-0.005268,0,15.6,0,0,0,0
7/30/2017 0:34,53,3.41,-0.005198,0,,,,-0.005198,0,14.6,0,0,0,0
7/31/2017 0:34,54,3.41,-0.005146,0,,,,-0.005146,0,14.1,0,0,0,0
8/1/2017 0:34,55,3.41,-0.001089,0,,,,-0.001089,0,16.9,0,0,0,0
8/2/2017 0:34,56,3.41,-0.047159,0,,,,-0.047159,0,18.6,0,0,0,0
8/3/2017 0:34,57,3.36,-0.009991,0,,,,-0.009991,0,18.8,0,0,0,0
8/4/2017 0:34,58,3.36,0.048721,0,,,,0.048721,0,18.6,0,0,0,0
8/5/2017 0:34,59,3.36,-0.040056,0,,,,-0.040056,0,20.3,0,0,0,0
8/6/2017 0:34,60,3.36,0.00004,0,,,,0.00004,0,20.3,0,0,0,0
8/7/2017 0:34,61,3.36,-0.041784,0,,,,-0.041784,0,19,0,0,0,0
8/8/2017 0:34,62,3.36,-0.011786,0,,,,-0.011786,0,19.1,0,0,0,0
8/9/2017 0:34,63,3.36,-0.009224,0,,,,-0.009224,0,21.5,0,0,0,0
8/10/2017 0:34,64,3.36,-0.012331,0,,,,-0.012331,0,21.6,0,0,0,0
8/11/2017 0:34,65,3.36,-0.032915,0,,,,-0.032915,0,21.8,0,0,0,0
8/12/2017 0:34,66,3.36,-0.033155,0,,,,-0.033155,0,21.6,0,0,0,0
8/13/2017 0:34,67,3.36,-0.033255,0,,,,-0.033255,0,21.3,0,0,0,0
8/14/2017 0:34,68,3.36,-0.033045,0,,,,-0.033045,0,21.9,0,0,0,0
8/15/2017 0:34,69,3.36,-0.033142,0,,,,-0.033142,0,21.9,0,0,0,0
8/16/2017 0:34,70,3.36,-0.024317,0,,,,-0.024317,0,21.6,0,0,0,0
8/17/2017 0:34,71,3.36,-0.024128,0,,,,-0.024128,0,21.5,0,0,0,0
8/18/2017 0:34,72,3.36,-0.02417,0,,,,-0.02417,0,21.5,0,0,0,0
8/19/2017 0:34,73,3.36,0.097086,0,,,,0.097086,0,21.3,0,0,0,0
8/20/2017 0:34,74,3.36,0.1064,0,,,,0.1064,0,21.3,0,0,0,0
8/21/2017 0:34,75,3.36,0.10952,0,,,,0.10952,0,22.3,0,0,0,0
8/22/2017 0:34,76,3.36,0.110647,0,,,,0.110647,0,21.3,0,0,0,0
8/23/2017 0:34,77,3.36,0.111074,0,,,,0.111074,0,21.3,0,0,0,0
8/24/2017 0:34,78,3.36,0.112202,0,,,,0.112202,0,21.1,0,0,0,0
8/25/2017 0:34,79,3.36,0.113245,0,,,,0.113245,0,20.7,0,0,0,0
8/26/2017 0:34,80,3.36,0.114031,0,,,,0.114031,0,20.4,0,0,0,0
8/27/2017 0:34,81,3.36,0.114672,0,,,,0.114672,0,20.7,0,0,0,0
8/28/2017 0:34,82,3.36,0.115059,0,,,,0.115059,0,21.3,0,0,0,0
8/29/2017 0:34,83,3.36,0.116541,0,,,,0.116541,0,21,0,0,0,0
8/30/2017 0:34,84,3.36,0.116779,0,,,,0.116779,0,20.9,0,0,0,0
8/31/2017 0:34,85,3.36,0.116886,0,,,,0.116886,0,20.9,0,0,0,0
9/1/2017 0:34,86,3.36,0.161175,0,,,,0.161175,0,19.8,0,0,0,0
9/2/2017 0:34,87,3.41,0.025934,0,,,,0.025934,0,19.8,0,0,0,0
9/3/2017 0:34,88,3.41,0.025679,0,,,,0.025679,0,19.9,0,0,0,0
9/4/2017 0:34,89,3.41,0.025269,0,,,,0.025269,0,19.6,0,0,0,0
9/5/2017 0:34,90,3.41,0.016535,0,,,,0.016535,0,19.9,0,0,0,0
9/6/2017 0:34,91,3.41,0.01646,0,,,,0.01646,0,20,0,0,0,0
9/7/2017 0:34,92,3.41,0.016481,0,,,,0.016481,0,20.1,0,0,0,0
9/8/2017 0:34,93,3.41,0.016405,0,,,,0.016405,0,20.1,0,0,0,0
9/9/2017 0:34,94,3.41,0.016928,0,,,,0.016928,0,19.6,0,0,0,0
9/10/2017 0:34,95,3.41,0.017073,0,,,,0.017073,0,20.3,0,0,0,0
9/11/2017 0:34,96,3.41,0.017107,0,,,,0.017107,0,20.4,0,0,0,0
9/12/2017 0:34,97,3.41,0.016888,0,,,,0.016888,0,20.8,0,0,0,0
9/13/2017 0:34,98,3.36,0.016695,0,,,,0.016695,0,20.9,0,0,0,0
9/14/2017 0:34,99,3.41,0.016607,0,,,,0.016607,0,21.6,0,0,0,0
9/15/2017 0:34,100,3.36,0.017645,0,,,,0.017645,0,21.6,0,0,0,0
9/16/2017 0:34,101,3.36,0.017855,0,,,,0.017855,0,21.1,0,0,0,0
9/17/2017 0:34,102,3.36,0.018045,0,,,,0.018045,0,21.8,0,0,0,0
9/18/2017 0:34,103,3.36,0.018026,0,,,,0.018026,0,22.6,0,0,0,0
9/19/2017 0:34,104,3.36,0.018101,0,,,,0.018101,0,21.5,0,0,0,0
9/20/2017 0:34,105,3.36,0.018467,0,,,,0.018467,0,21.3,0,0,0,0
9/21/2017 0:34,106,3.36,0.01869,0,,,,0.01869,0,21.8,0,0,0,0
9/22/2017 0:34,107,3.36,0.018808,0,,,,0.018808,0,21.8,0,0,0,0
9/23/2017 0:34,108,3.36,0.019285,0,,,,0.019285,0,21.6,0,0,0,0
9/24/2017 0:34,109,3.36,0.019278,0,,,,0.019278,0,22,0,0,0,0
9/25/2017 0:34,110,3.36,0.019302,0,,,,0.019302,0,23.2,0,0,0,0
9/26/2017 0:34,111,3.36,0.019373,0,,,,0.019373,0,21.9,0,0,0,0
9/27/2017 0:34,112,3.36,0.019419,0,,,,0.019419,0,21.5,0,0,0,0
9/28/2017 0:34,113,3.36,0.019375,0,,,,0.019375,0,21.3,0,0,0,0
9/29/2017 0:34,114,3.41,0.019707,0,,,,0.019707,0,19.9,0,0,0,0
9/30/2017 0:34,115,3.41,0.019941,0,,,,0.019941,0,19.4,0,0,0,0
10/1/2017 0:34,116,3.41,0.020212,0,,,,0.020212,0,19.6,0,0,0,0
10/2/2017 0:34,117,3.41,0.020338,0,,,,0.020338,0,19.2,0,0,0,0
10/3/2017 0:34,118,3.41,0.020641,0,,,,0.020641,0,19.8,0,0,0,0
10/4/2017 0:34,119,3.41,-0.006212,0,,,,-0.006212,0,20.4,0,0,0,0
10/5/2017 0:34,120,3.41,-0.005947,0,,,,-0.005947,0,20.8,0,0,0,0
10/6/2017 0:34,121,3.41,-0.005571,0,,,,-0.005571,0,21,0,0,0,0
10/7/2017 0:34,122,3.41,-0.005297,0,,,,-0.005297,0,20.7,0,0,0,0
10/8/2017 0:34,123,3.41,-0.005285,0,,,,-0.005285,0,20.6,0,0,0,0
10/9/2017 0:34,124,3.41,-0.005056,0,,,,-0.005056,0,21.2,0,0,0,0
10/10/2017 0:34,125,3.41,-0.00486,0,,,,-0.00486,0,20.8,0,0,0,0
10/11/2017 0:34,126,3.41,-0.004519,0,,,,-0.004519,0,20.9,0,0,0,0
10/12/2017 0:34,127,3.41,-0.004057,0,,,,-0.004057,0,20.9,0,0,0,0
10/13/2017 0:34,128,3.41,-0.003849,0,,,,-0.003849,0,20.1,0,0,0,0
10/14/2017 0:34,129,3.41,-0.003796,0,,,,-0.003796,0,20.5,0,0,0,0
10/15/2017 0:34,130,3.41,-0.003761,0,,,,-0.003761,0,20.3,0,0,0,0
10/16/2017 0:34,131,3.41,-0.00408,0,,,,-0.00408,0,20.5,0,0,0,0
10/17/2017 0:34,132,3.41,-0.003431,0,,,,-0.003431,0,19.3,0,0,0,0
10/18/2017 0:34,133,3.41,-0.003546,0,,,,-0.003546,0,21.5,0,0,0,0
10/19/2017 0:34,134,3.41,-0.003447,0,,,,-0.003447,0,22.4,0,0,0,0
10/20/2017 0:34,135,3.41,-0.003384,0,,,,-0.003384,0,22.7,0,0,0,0
10/21/2017 0:34,136,3.41,-0.003172,0,,,,-0.003172,0,22.6,0,0,0,0
10/22/2017 0:34,137,3.36,-0.003016,0,,,,-0.003016,0,22.7,0,0,0,0
10/23/2017 0:34,138,3.36,-0.002914,0,,,,-0.002914,0,22.9,0,0,0,0
10/24/2017 0:34,139,3.36,-0.003008,0,,,,-0.003008,0,23.6,0,0,0,0
10/25/2017 0:34,140,3.36,-0.00308,0,,,,-0.00308,0,23.8,0,0,0,0
10/26/2017 0:34,141,3.36,-0.002817,0,,,,-0.002817,0,22.7,0,0,0,0
10/27/2017 0:34,142,3.36,-0.002672,0,,,,-0.002672,0,21.9,0,0,0,0
10/28/2017 0:34,143,3.41,-0.002449,0,,,,-0.002449,0,21.4,0,0,0,0
10/29/2017 0:34,144,3.41,-0.002481,0,,,,-0.002481,0,21.7,0,0,0,0
10/30/2017 0:34,145,3.41,-0.002504,0,,,,-0.002504,0,20.4,0,0,0,0
10/31/2017 0:34,146,3.41,-0.002516,0,,,,-0.002516,0,20.9,0,0,0,0
11/1/2017 0:34,147,3.41,-0.002071,0,,,,-0.002071,0,21.3,0,0,0,0
11/2/2017 0:34,148,3.41,-0.001898,0,,,,-0.001898,0,21.6,0,0,0,0
11/3/2017 0:34,149,3.41,-0.002106,0,,,,-0.002106,0,21.9,0,0,0,0
11/4/2017 0:34,150,3.41,-0.001713,0,,,,-0.001713,0,21.2,0,0,0,0
11/5/2017 0:34,151,3.41,-0.001585,0,,,,-0.001585,0,20.3,0,0,0,0
11/6/2017 0:34,152,3.41,-0.00174,0,,,,-0.00174,0,19.4,0,0,0,0
11/7/2017 0:34,153,3.41,-0.001583,0,,,,-0.001583,0,20.7,0,0,0,0
11/8/2017 0:34,154,3.41,-0.001492,0,,,,-0.001492,0,20.8,0,0,0,0
11/9/2017 0:34,155,3.41,-0.001431,0,,,,-0.001431,0,20.9,0,0,0,0
11/10/2017 0:34,156,3.41,-0.001469,0,,,,-0.001469,0,21.5,0,0,0,0
11/11/2017 0:34,157,3.41,-0.001148,0,,,,-0.001148,0,21,0,0,0,0
11/12/2017 0:34,158,3.41,-0.001024,0,,,,-0.001024,0,19.6,0,0,0,0
11/13/2017 0:34,159,3.41,-0.000971,0,,,,-0.000971,0,17.2,0,0,0,0
11/14/2017 0:34,160,3.41,-0.00099,0,,,,-0.00099,0,20.3,0,0,0,0
11/15/2017 0:34,161,3.41,-0.000998,0,,,,-0.000998,0,20.8,0,0,0,0
11/16/2017 0:34,162,3.41,-0.001131,0,,,,-0.001131,0,20.6,0,0,0,0
11/17/2017 0:34,163,3.41,-0.001196,0,,,,-0.001196,0,20.9,0,0,0,0
11/18/2017 0:34,164,3.41,-0.000986,0,,,,-0.000986,0,20.8,0,0,0,0
11/19/2017 0:34,165,3.41,-0.001238,0,,,,-0.001238,0,19.9,0,0,0,0
11/20/2017 0:34,166,3.41,-0.001045,0,,,,-0.001045,0,17.1,0,0,0,0
11/21/2017 0:34,167,3.41,-0.000967,0,,,,-0.000967,0,20.2,0,0,0,0
11/22/2017 0:34,168,3.41,-0.001045,0,,,,-0.001045,0,20.6,0,0,0,0
11/23/2017 0:34,169,3.41,-0.000839,0,,,,-0.000839,0,20.9,0,0,0,0
11/24/2017 0:34,170,3.41,-0.000916,0,,,,-0.000916,0,20.9,0,0,0,0
11/25/2017 0:34,171,3.41,-0.000998,0,,,,-0.000998,0,21.3,0,0,0,0
11/26/2017 0:34,172,3.41,-0.000965,0,,,,-0.000965,0,20.9,0,0,0,0
11/27/2017 0:34,173,3.41,-0.000772,0,,,,-0.000772,0,17.8,0,0,0,0
11/28/2017 0:34,174,3.41,-0.000578,0,,,,-0.000578,0,20.3,0,0,0,0
11/29/2017 0:34,175,3.41,-0.000668,0,,,,-0.000668,0,21,0,0,0,0
11/30/2017 0:34,176,3.41,-0.000439,0,,,,-0.000439,0,21.1,0,0,0,0
12/1/2017 0:34,177,3.41,-0.000578,0,,,,-0.000578,0,20.9,0,0,0,0
12/2/2017 0:34,178,3.41,-0.000418,0,,,,-0.000418,0,20.9,0,0,0,0
12/3/2017 0:34,179,3.41,-0.000427,0,,,,-0.000427,0,20.3,0,0,0,0
12/4/2017 0:34,180,3.41,-0.00032,0,,,,-0.00032,0,18.2,0,0,0,0
12/5/2017 0:34,181,3.41,-0.000305,0,,,,-0.000305,0,20.8,0,0,0,0
12/6/2017 0:34,182,3.41,-0.000565,0,,,,-0.000565,0,21.1,0,0,0,0
12/7/2017 0:34,183,3.41,-0.000429,0,,,,-0.000429,0,21.1,0,0,0,0
12/8/2017 0:34,184,3.41,-0.000286,0,,,,-0.000286,0,21.6,0,0,0,0
12/9/2017 0:34,185,3.41,-0.000248,0,,,,-0.000248,0,21.1,0,0,0,0
12/10/2017 0:34,186,3.41,-0.000248,0,,,,-0.000248,0,20.4,0,0,0,0
12/11/2017 0:34,187,3.41,-0.000153,0,,,,-0.000153,0,17.1,0,0,0,0
12/12/2017 0:34,188,3.41,-0.000053,0,,,,-0.000053,0,19.2,0,0,0,0
12/13/2017 0:34,189,3.41,-0.000229,0,,,,-0.000229,0,20.9,0,0,0,0
12/14/2017 0:34,190,3.41,-0.000185,0,,,,-0.000185,0,20.3,0,0,0,0
12/15/2017 0:34,191,3.41,-0.000036,0,,,,-0.000036,0,20.6,0,0,0,0
12/16/2017 0:34,192,3.41,-0.000065,0,,,,-0.000065,0,21.8,0,0,0,0
12/17/2017 0:34,193,3.41,0.000074,0,,,,0.000074,0,20.1,0,0,0,0
12/18/2017 0:34,194,3.41,0.000174,0,,,,0.000174,0,15.7,0,0,0,0
12/19/2017 0:34,195,3.41,0.000084,0,,,,0.000084,0,21.4,0,0,0,0
12/20/2017 0:34,196,3.41,0.000008,0,,,,0.000008,0,21.3,0,0,0,0
12/21/2017 0:34,197,3.41,0.000233,0,,,,0.000233,0,21.8,0,0,0,0
12/22/2017 0:34,198,3.41,0.000298,0,,,,0.000298,0,21.4,0,0,0,0
12/23/2017 0:34,199,3.41,0.000305,0,,,,0.000305,0,20.8,0,0,0,0
12/24/2017 0:34,200,3.41,0.000223,0,,,,0.000223,0,20.4,0,0,0,0
12/25/2017 0:34,201,3.41,0.000389,0,,,,0.000389,0,16.6,0,0,0,0
12/26/2017 0:34,202,3.41,0.000313,0,,,,0.000313,0,21.1,0,0,0,0
12/27/2017 0:34,203,3.41,0.000444,0,,,,0.000444,0,20.3,0,0,0,0
12/28/2017 0:34,204,3.41,0.000526,0,,,,0.000526,0,21.1,0,0,0,0
12/29/2017 0:34,205,3.41,0.000582,0,,,,0.000582,0,20.8,0,0,0,0
12/30/2017 0:34,206,3.41,0.000538,0,,,,0.000538,0,21,0,0,0,0
12/31/2017 0:34,207,3.41,0.000473,0,,,,0.000473,0,18.9,0,0,0,0
